Facility Name,Primary Service Category,Layers of Care Provided,Parish,City,Physical Address,Intake / Admissions Phone,After-Hours Coverage Line,Admin Email Contact,Age Groups Treated (Ages),Total Psychiatric Bed Count,Specialized Clinical Tracks,Medicaid Enrolled (Y/N),Medicare Enrolled (Y/N),Commercial Insurance Accepted,Discharge Planning / Referral Liaison,program_name,clarity_fit,notes
Monroe Surgical Hospital,Hospital,Hospital,Ouachita,Monroe,2408 Broadmoor Blvd.,3184100002.0,,robynhemphill@monroesurgical.com,,0,Substance Use Disorder,,,,Robyn  Hemphill,Monroe Surgical Hospital,,
P & S Surgical Hospital,Hospital,Hospital,Ouachita,Monroe,312 Grammont Street Ste. 101,3183884040.0,,lindaholyfield@pssurgery.com,,0,Substance Use Disorder,,,,Linda  Holyfield,P & S Surgical Hospital,,
Riverbend Rehabilitation Hospital,Hospital,Hospital,Ouachita,Monroe,4310 South Grand Street,3186548300.0,,billy@innovativeofficesystems.net,,0,Substance Use Disorder,,,,"Willaim H means, Jr.",Riverbend Rehabilitation Hospital,,
Specialty Hospital,Hospital,Hospital,Ouachita,Monroe,"309 Jackson Street, 7th Floor",3189664126.0,,jerry.rogers@lhcgroup.com,,0,Substance Use Disorder,,,,Jerry T Rogers,Specialty Hospital,,
St. Francis Medical Center,Hospital,Hospital,Ouachita,Monroe,309 Jackson Street,3189664000.0,,kristin.wolkart@stfran.com,,0,Substance Use Disorder,,,,Kristin  Wolkart,St. Francis Medical Center,,
University Health Conway,Hospital,Hospital,Ouachita,Monroe,4864 Jackson Street,3183307000.0,,jonathan.phillips@uhsystem.com,,0,Substance Use Disorder,,,,Jonathan  Phillips,University Health Conway,,
Allegiance Health Center of Monroe,Hospital,Hospital,Ouachita,Monroe,3421 Medical Park Drive,3189664686.0,,dthompson.ruston@ahmgt.com,,0,Substance Use Disorder,,,,MS Donna K Thompson,Allegiance Health Center of Monroe,,
Louisiana Extended Care Hospital of Natchitoches,Hospital,Hospital,Natchitoches,Natchitoches,"501 Keyser Avenue, 4th floor",3183542044.0,,John.Rivoire@lhcgroup.com,,0,Substance Use Disorder,,,,John  Rivoire,Louisiana Extended Care Hospital of Natchitoches,,
Teche Regional Medical Center,Hospital,Hospital,St. Mary,Morgan City,1125 Marguerite Street,9853804407.0,,Scott.Smith1@LPNT.net,,0,Substance Use Disorder,,,,Scott M Smith,Teche Regional Medical Center,,
Assumption Community Hospital,Hospital,Hospital,Assumption,Napoleonville,135 Highway 402,9853693600.0,,christina.hockaday@ololrmc.com,,0,Substance Use Disorder,,,,CHRISTINA  HOCKADAY,Assumption Community Hospital,,
Iberia Rehabilitation Hospital,Hospital,Hospital,Iberia,New Iberia,532 Jefferson Terrace Street,3373646923.0,,athanolivier@iberiarehab.net,,0,Substance Use Disorder,,,,Athan  Olivier,Iberia Rehabilitation Hospital,,
Iberia General Hospital & Medical Center,Hospital,Hospital,Iberia,New Iberia,2315 East Main Street,3373640441.0,,ptempleton@iberiamedicalcenter.com,,0,Substance Use Disorder,,,,Parker A Templeton,Iberia General Hospital & Medical Center,,
East Carroll Parish Hospital,Hospital,Hospital,East Carroll,Lake Providence,336 North Hood Street,3185594023.0,,lenglerth@ecphosp.com,,0,Substance Use Disorder,,,,MS Ladonna  Englerth,East Carroll Parish Hospital,,
"Beacon Behavioral Hospital, Inc",Hospital,Hospital,St. James,Lutcher,2471 Louisiana Ave,2252586103.0,,denisew@beaconbh.com,,0,Substance Use Disorder,,,,Denise  White,"Beacon Behavioral Hospital, Inc",,
St. James Parish Hospital,Hospital,Hospital,St. James,Lutcher,1645 Lutcher Avenue,2258695512.0,,mpratt@sjph.org,,0,Substance Use Disorder,,,,MS MARY  PRATT,St. James Parish Hospital,,
Byrd Regional Hospital,Hospital,Hospital,Vernon,Leesville,1020 Fertitta Boulevard,3372399041.0,,roger_ledoux@chs.net,,0,Substance Use Disorder,,,,MR Roger  Ledoux,Byrd Regional Hospital,,
"Doctors Hospital at Deer Creek, LLC",Hospital,Hospital,Vernon,Leesville,815 South 10th Street,3373925088.0,,wbarrow@dhdc.md,,0,Substance Use Disorder,,,,WILLIAM F BARROW II,"Doctors Hospital at Deer Creek, LLC",,
Leesville Rehabilitation Hospital,Hospital,Hospital,Vernon,Leesville,900 South Sixth Street,3373928118.0,,jackcausey@leesvillerehab.com,,0,Substance Use Disorder,,,,JACK  CAUSEY,Leesville Rehabilitation Hospital,,
