consumer_sheet,consumer_cell,referenced_sheet,referenced_range,resolution
2012 YTD Summary,B4,Daily Census IP 2012,AI5,internal
2012 YTD Summary,C4,Daily Census IP 2012,AI8,internal
2012 YTD Summary,D4,Daily Census IP 2012,AI11,internal
2012 YTD Summary,E4,Daily Census IP 2012,AI14,internal
2012 YTD Summary,F4,Daily Census IP 2012,AI17,internal
2012 YTD Summary,G4,Daily Census IP 2012,AI20,internal
2012 YTD Summary,H4,Daily Census IP 2012,AI23,internal
2012 YTD Summary,I4,Daily Census IP 2012,AI26,internal
2012 YTD Summary,J4,Daily Census IP 2012,AI29,internal
2012 YTD Summary,K4,Daily Census IP 2012,AI32,internal
2012 YTD Summary,L4,Daily Census IP 2012,AI35,internal
2012 YTD Summary,M4,Daily Census IP 2012,AI38,internal
2012 YTD Summary,B5,Daily Census IP 2012,AI6,internal
2012 YTD Summary,C5,Daily Census IP 2012,AI9,internal
2012 YTD Summary,D5,Daily Census IP 2012,AI12,internal
2012 YTD Summary,E5,Daily Census IP 2012,AI15,internal
2012 YTD Summary,F5,Daily Census IP 2012,AI18,internal
2012 YTD Summary,G5,Daily Census IP 2012,AI21,internal
2012 YTD Summary,H5,Daily Census IP 2012,AI24,internal
2012 YTD Summary,I5,Daily Census IP 2012,AI27,internal
2012 YTD Summary,J5,Daily Census IP 2012,AI30,internal
2012 YTD Summary,K5,Daily Census IP 2012,AI33,internal
2012 YTD Summary,L5,Daily Census IP 2012,AI36,internal
2012 YTD Summary,M5,Daily Census IP 2012,AI39,internal
2012 YTD Summary,B6,Daily Census IP 2012,AI4,internal
2012 YTD Summary,C6,Daily Census IP 2012,AI7,internal
2012 YTD Summary,D6,Daily Census IP 2012,AI10,internal
2012 YTD Summary,E6,Daily Census IP 2012,AI13,internal
2012 YTD Summary,F6,Daily Census IP 2012,AI16,internal
2012 YTD Summary,G6,Daily Census IP 2012,AI19,internal
2012 YTD Summary,H6,Daily Census IP 2012,AI22,internal
2012 YTD Summary,I6,Daily Census IP 2012,AI25,internal
2012 YTD Summary,J6,Daily Census IP 2012,AI28,internal
2012 YTD Summary,K6,Daily Census IP 2012,AI31,internal
2012 YTD Summary,L6,Daily Census IP 2012,AI34,internal
2012 YTD Summary,M6,Daily Census IP 2012,AI37,internal
2012 YTD Summary,B7,Daily Census IP 2012,AH4,internal
2012 YTD Summary,C7,Daily Census IP 2012,AH7,internal
2012 YTD Summary,D7,Daily Census IP 2012,AH10,internal
2012 YTD Summary,E7,Daily Census IP 2012,AH13,internal
2012 YTD Summary,F7,Daily Census IP 2012,AH16,internal
2012 YTD Summary,G7,Daily Census IP 2012,AH19,internal
2012 YTD Summary,H7,Daily Census IP 2012,AH22,internal
2012 YTD Summary,I7,Daily Census IP 2012,AH25,internal
