path,filename,extension,size_bytes,sha256,mtime,origin,classification,sensitivity
.claude/launch.json,launch.json,json,202,aff37486b00a20f8da497d77d3d0f992c6c209d13b31357e6d956caa02180073,2026-07-08 14:42,pre-package (Jul 8 baseline),configuration,none identified
Clarity MH /CIA Comp initial Assesment guidance .md,CIA Comp initial Assesment guidance .md,md,46051,be34581f9f0f235a157ba442723d4b34cf8e31c7b53955d73db028d0ef0d0345,2026-07-08 09:00,pre-package (Jul 8 baseline),research/source material,policy/guidance document; review before external sharing; no patient records
Clarity MH /Centralized Behavioral Health Intake SOP Manual.docx,Centralized Behavioral Health Intake SOP Manual.docx,docx,57191,63732712a6204533695902c2f21b0f72a9c3ca050711cc31be12c9a8549507c2,2026-07-08 09:22,pre-package (Jul 8 baseline),research/source material,policy/guidance document; review before external sharing; no patient records
Clarity MH /Louisiana Inpatient Psychiatry Assessment and Crisis Platform Feasibility Report.md,Louisiana Inpatient Psychiatry Assessment and Crisis Platform Feasibility Report.md,md,32449,7286e5d84794155006b0d750d8d795ceeb9b9167e77d0321783b4cb47e6dcf9c,2026-07-08 09:39,pre-package (Jul 8 baseline),research/source material,none identified
Clarity MH /Reporting Metrics Ops and Budget .xlsx,Reporting Metrics Ops and Budget .xlsx,xlsx,1633140,9051cfcb50a58fd52fea85852c69acaf675c135630bf6926fc2594f5393264c5,2026-07-08 10:45,pre-package (Jul 8 baseline),research/source material,business-sensitive (operational/budget); no PHI observed
Clarity MH /clarity-competitive-landscape-epec.md,clarity-competitive-landscape-epec.md,md,9754,dbad2a7c5ef5534f8c4bf5c4cb8c67e0afb0d3e7546601a745454ea5ff3ddd62,2026-07-08 10:10,pre-package (Jul 8 baseline),research/source material,none identified
Clarity MH /clarity-epec.jsx,clarity-epec.jsx,jsx,45091,e9d39b715f02ae62c764af9cf189db578119c635ffe9ce3f23819a71262fcd7a,2026-07-08 10:10,pre-package (Jul 8 baseline),research/source material,none identified
Clarity MH /clarity-holistic-synthesis.md,clarity-holistic-synthesis.md,md,11713,fc15901a5cd19c21243e16262dcf624e655163674f129b37f227c17377249f3c,2026-07-08 10:10,pre-package (Jul 8 baseline),research/source material,none identified
Clarity MH /clarity-mh-codex-architecture-package.zip,clarity-mh-codex-architecture-package.zip,zip,169745,33f07f614878b3e544700a6db2f0f974ff9dcaad106da24efbc0177aec575699,2026-07-08 10:35,pre-package (Jul 8 baseline),research/source material,none identified
README.md,README.md,md,2997,fbb76d5e1043de48ef4b0746288a432e8ae2104fcbce667dd7114b5cb8a942d9,2026-07-08 16:11,pre-package (Jul 8 baseline),product documentation,none identified
app/README.md,README.md,md,2640,4af63e691c8910e23536ddf5cefc1fc1c1614749acbe2e930f28b87e8c36ca75,2026-07-08 15:51,pre-package (Jul 8 baseline),code (prototype app),none identified
app/index.html,index.html,html,307,1461fafcf8e0494bfe6ec3edcc9b3d26a95047601c98978bf1fa4352269f966e,2026-07-08 11:30,pre-package (Jul 8 baseline),code (prototype app),none identified
app/package-lock.json,package-lock.json,json,143236,86a2e1fb5a75e1840eb271156c0982b39f61ad5d54eeb40f4f790dcc44a82575,2026-07-08 11:38,pre-package (Jul 8 baseline),code (prototype app),none identified
app/package.json,package.json,json,760,827d0a874b020879552231762dc3d847e6d2e2e777972cd13cd57fde33372e41,2026-07-08 14:43,pre-package (Jul 8 baseline),code (prototype app),none identified
app/playwright.config.ts,playwright.config.ts,ts,741,578110ad1927c33019b6b78c443c52592c928747d84b05c8c1546d950e4b8170,2026-07-08 11:42,pre-package (Jul 8 baseline),code (prototype app),none identified
app/smoke/clarity-v01.spec.ts,clarity-v01.spec.ts,ts,7615,abafc2853feea370f93aec6e64673a731f6c6f87ca3a1ec1bdaee28f8ce8b55e,2026-07-08 16:11,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/App.test.tsx,App.test.tsx,tsx,1470,2e395d0683780c2adcc149747d2b94126b078fc5700e5be6e69f3a633ae1b3c0,2026-07-08 11:36,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/App.tsx,App.tsx,tsx,18997,b56f89456d8835146d059bbc88b7d5892d10611f9ba0ef9c6fb17b94a7b319f9,2026-07-08 16:09,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/components/StatusBadge.tsx,StatusBadge.tsx,tsx,733,d0125f53b8c868ec45cacf070c895b3e158ef7b494920ffce3de6ae4a4a2cd9c,2026-07-08 11:31,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/domain/analyticsEvents.ts,analyticsEvents.ts,ts,763,e01507913e1018db64265465de7cd6fb4169c07bad249c3279cd7c40d0bee2fb,2026-07-08 11:44,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/domain/bedboard.test.ts,bedboard.test.ts,ts,3957,8e9c3d601055c60353219ca34bd7d22332bd1c8085c887971f97b807f971e6e0,2026-07-08 14:40,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/domain/bedboard.ts,bedboard.ts,ts,4292,650b6e4a066cf6749503611c0e8fd4862fb2f32da957f654bed833c981291900,2026-07-08 14:36,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/domain/clocks.test.ts,clocks.test.ts,ts,1408,acaae5eb8c2e7cf04c14939a222d9eb1cfeaafa69b902c6486c78918b30d970a,2026-07-08 14:40,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/domain/clocks.ts,clocks.ts,ts,1503,e2c5a81b0737ba474f0da9c15268a8d56729bcb0962ebbe89465a45ecedfd70b,2026-07-08 14:36,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/domain/custodyLedger.ts,custodyLedger.ts,ts,772,dcb40a2eeef083661f416d5fc2fe177899346eeb4038c2a304967ba171f60f94,2026-07-08 11:44,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/domain/guardrails.test.ts,guardrails.test.ts,ts,4569,af43fbb682ecea8a2e764dac8b988d8fc8b9befc1ecf13f94bee60813d598da2,2026-07-08 11:48,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/domain/guardrails.ts,guardrails.ts,ts,3667,41cd279050653a65828b690695c3ac29af957ef40ef274469e22a47afaad49c4,2026-07-08 11:44,pre-package (Jul 8 baseline),code (prototype app),none identified
app/src/domain/hashLedger.test.ts,hashLedger.test.ts,ts,1134,ea304d7179af4137727180eb8070906f0f94c4c131c1ebc0e50a56e0d30fb040,2026-07-08 11:47,pre-package (Jul 8 baseline),code (prototype app),none identified
