sheet,address,formula,functions,referenced_sheets
Ancil Invoices,I2,='Daily Census IP 2012'!A2,,Daily Census IP 2012
Ancil Invoices,G6,='2012 YTD Summary'!B9,,2012 YTD Summary
Ancil Invoices,I6,=SUM(G6*H6),SUM,
Ancil Invoices,L6,='2012 YTD Summary'!C9,,2012 YTD Summary
Ancil Invoices,N6,=SUM(L6*M6),SUM,
Ancil Invoices,G7,='2012 YTD Summary'!B9,,2012 YTD Summary
Ancil Invoices,L7,='2012 YTD Summary'!C9,,2012 YTD Summary
Ancil Invoices,G8,='2012 YTD Summary'!B9,,2012 YTD Summary
Ancil Invoices,L8,='2012 YTD Summary'!C9,,2012 YTD Summary
Ancil Invoices,G9,='2012 YTD Summary'!B27,,2012 YTD Summary
Ancil Invoices,L9,='2012 YTD Summary'!C27,,2012 YTD Summary
Ancil Invoices,I11,=SUM(I6:I10),SUM,
Ancil Invoices,N11,=SUM(N6:N10),SUM,
Ancil Invoices,I13,=SUM(I11+I12),SUM,
Ancil Invoices,N13,=SUM(N11+N12),SUM,
Ancil Invoices,G20,='2012 YTD Summary'!D9,,2012 YTD Summary
Ancil Invoices,I20,=SUM(G20*H20),SUM,
Ancil Invoices,L20,='2012 YTD Summary'!E9,,2012 YTD Summary
Ancil Invoices,N20,=SUM(L20*M20),SUM,
Ancil Invoices,G21,='2012 YTD Summary'!D9,,2012 YTD Summary
Ancil Invoices,L21,='2012 YTD Summary'!E9,,2012 YTD Summary
Ancil Invoices,G22,='2012 YTD Summary'!D9,,2012 YTD Summary
Ancil Invoices,L22,='2012 YTD Summary'!E9,,2012 YTD Summary
Ancil Invoices,G23,='2012 YTD Summary'!D27,,2012 YTD Summary
Ancil Invoices,L23,='2012 YTD Summary'!E27,,2012 YTD Summary
Ancil Invoices,I25,=SUM(I20:I24),SUM,
Ancil Invoices,N25,=SUM(N20:N24),SUM,
Ancil Invoices,I27,=SUM(I25+I26),SUM,
Ancil Invoices,N27,=SUM(N25+N26),SUM,
Ancil Invoices,G34,='2012 YTD Summary'!F9,,2012 YTD Summary
Ancil Invoices,I34,=SUM(G34*H34),SUM,
Ancil Invoices,L34,='2012 YTD Summary'!G9,,2012 YTD Summary
Ancil Invoices,N34,=SUM(L34*M34),SUM,
Ancil Invoices,G35,='2012 YTD Summary'!F9,,2012 YTD Summary
Ancil Invoices,L35,='2012 YTD Summary'!G9,,2012 YTD Summary
Ancil Invoices,G36,='2012 YTD Summary'!F9,,2012 YTD Summary
Ancil Invoices,L36,='2012 YTD Summary'!G9,,2012 YTD Summary
Ancil Invoices,G37,='2012 YTD Summary'!F27,,2012 YTD Summary
Ancil Invoices,L37,='2012 YTD Summary'!G27,,2012 YTD Summary
Ancil Invoices,I39,=SUM(I34:I38),SUM,
Ancil Invoices,N39,=SUM(N34:N38),SUM,
Ancil Invoices,I41,=SUM(I39+I40),SUM,
Ancil Invoices,N41,=SUM(N39+N40),SUM,
Ancil Invoices,I53,='Daily Census IP 2012'!A2,,Daily Census IP 2012
Ancil Invoices,G57,='2012 YTD Summary'!H9,,2012 YTD Summary
Ancil Invoices,I57,=SUM(G57*H57),SUM,
Ancil Invoices,L57,='2012 YTD Summary'!I9,,2012 YTD Summary
Ancil Invoices,N57,=SUM(L57*M57),SUM,
