from_sheet,to_sheet,formula_refs
2012 YTD Summary,Daily Census IP 2012,67
Ancil Invoices,2012 YTD Summary,48
Staffing August,Daily Census IP 2012,37
Staffing December,Daily Census IP 2012,37
Staffing January,Daily Census IP 2012,37
Staffing July,Daily Census IP 2012,37
Staffing March,Daily Census IP 2012,37
Staffing May,Daily Census IP 2012,37
Staffing October,Daily Census IP 2012,37
2012 YTD Summary,Daily Census IOP 2012,36
Staffing April,Daily Census IP 2012,36
Staffing June,Daily Census IP 2012,36
Staffing November,Daily Census IP 2012,36
Staffing September,Daily Census IP 2012,36
Staffing February,Daily Census IP 2012,35
2012 YTD Summary,Admissions,24
Budget vs Actual,2012 YTD Summary,24
2012 YTD Summary,Staffing April,14
2012 YTD Summary,Staffing August,14
2012 YTD Summary,Staffing December,14
2012 YTD Summary,Staffing February,14
2012 YTD Summary,Staffing January,14
2012 YTD Summary,Staffing July,14
2012 YTD Summary,Staffing June,14
2012 YTD Summary,Staffing March,14
2012 YTD Summary,Staffing May,14
2012 YTD Summary,Staffing November,14
2012 YTD Summary,Staffing October,14
2012 YTD Summary,Staffing September,14
Admissions,2012 YTD Summary,12
2012 YTD Summary,May Revenue  ,5
2012 YTD Summary,Apr Revenue ,4
2012 YTD Summary,Aug Revenue,4
2012 YTD Summary,Feb Revenue ,4
2012 YTD Summary,Jan Revenue  ,4
2012 YTD Summary,July Revenue  ,4
2012 YTD Summary,June Revenue,4
2012 YTD Summary,Mar Revenue  ,4
2012 YTD Summary,Apr IOP Attend,3
2012 YTD Summary,August IOP Attend,3
2012 YTD Summary,Feb IOP 2012 Attend ,3
2012 YTD Summary,Jan IOP 2012 Attend,3
2012 YTD Summary,July IOP Attend,3
2012 YTD Summary,June IOP Attend,3
2012 YTD Summary,Mar IOP Attend,3
2012 YTD Summary,May IOP Attend,3
Apr Revenue,Daily Census IP 2012,3
Aug Revenue,Daily Census IP 2012,3
Daily Census IP 2012,2012 YTD Summary,3
Dec Revenue,Daily Census IP 2012,3
Feb Revenue,Daily Census IP 2012,3
Jan Revenue,Daily Census IP 2012,3
July Revenue,Daily Census IP 2012,3
June Revenue,Daily Census IP 2012,3
Mar Revenue,Daily Census IP 2012,3
May Revenue,Daily Census IP 2012,3
Nov Revenue,Daily Census IP 2012,3
Oct Revenue,Daily Census IP 2012,3
Sep Revenue,Daily Census IP 2012,3
2012 YTD Summary,Dec IOP Attend,2
2012 YTD Summary,Dec Revenue ,2
2012 YTD Summary,Nov IOP Attend ,2
2012 YTD Summary,Nov Revenue   ,2
2012 YTD Summary,Oct IOP Attend,2
2012 YTD Summary,Oct Revenue  ,2
2012 YTD Summary,Sep Revenue ,2
2012 YTD Summary,Sept IOP Attend,2
Ancil Invoices,Daily Census IP 2012,2
